SITUACIÓN	ok	-	mal	BOTONES	feedback si si	feedback recibido
	x			ACELERAR	Acelerá para sobrepasar al camión rápidamente -manteniendo la distancia- de forma tal de retomar tu lugar a la derecha sin interferir la marcha del camión. Al volver a la derecha, deberás usar la luz de giro.	Bien hecho! Debés sobrepasar al camión rápidamente -manteniendo la distancia- de forma tal de retomar tu lugar a la derecha sin interferir la marcha del camión. Al volver a la derecha, deberás usar la luz de giro.
			x	PASARLO POR LA DERECHA	Pasar el camión por la derecha podría provocar siniestros. Siempre debés hacerlo por la izquierda.	Esta acción podría provocar siniestros. Para adelantarte a otro auto, siempre debés hacerlo por la izquierda.
	x			PASARLO POR LA IZQUIERDA	Pasar al camión por la izquierda. Para adelantarte a otro auto, siempre debés hacerlo por la izquierda.	Bien hecho! Para adelantarte a otro auto, siempre debés hacerlo por la izquierda.
	x			DESTELLO DE LUCES FRONTALES	Hacer un destello de luces frontales es útil para advertir al camión tu intención de sobrepasarlo.	Bien hecho! Debes advertir al camión tu intención de sobrepasarlo.
			x	DESACELERAR	No es necesario desacelerar y podría provocar un siniestro en la ruta.	No es necesaria esta acción y podría provocar un siniestro en la ruta.
	x			CHEQUEAR LA SEÑAL DE LA RUTA A VER SI ESTÁ PERMITIDO PASAR VEHÍCULOS	Antes de pasar un vehículo chequeá la señal de tránsito horizontal pintada sobre el asfalto, es decir, la línea blanca intermitente. También verificá tener visibilidad y no hacerlo cerca de encrucijadas, puentes o zonas peligrosas.	Bien hecho! Antes de pasar un vehículo chequeá la señal de tránsito horizontal pintada sobre el asfalto. (línea blanca intermitente). También verificá tener visibilidad y no hacerlo cerca de encrucijadas, puentes o zonas peligrosas.
EL SEMÁFORO ESTÁ EN ROJO, PERO ESTÁS APURADO.			x	AVANZAR	Avanzar podría provocar siniestros.	Esta acción podría provocar siniestros.
		x		PONER EL GUIÑO	No es necesario poner el guiño; pensarán que querés girar. 	No es necesaria esta acción.
	x			FRENAR ESPERAR A QUE ESTÉ VERDE Y AVANZAR	Frenar y esperar a que esté verde para avanzar. Siempre debés respetar las indicaciones del semáforo. Si está rojo debes detenerte antes de la línea marcada o senda peatonal.	Bien hecho! Siempre debes respetar las indicaciones del semáforo. Rojo: detenerse antes de la línea marcada o senda peatonal.
		x		TOCAR LA BOCINA	No es necesario tocar la bocina.	No es necesaria esta acción.
		x		PRENDER BALIZAS	No es necesario prender las balizas.	No es necesaria esta acción.
EN UNA ESQUINA SIN SEMÁFORO, UNA BICICLETA VIENE POR LA DERECHA.			x	ACELERAR Y AVANZAR, TENGO PRIORIDAD	¡Acelerando podrías provocar un siniestro! Recordá que siempre la prioridad en las esquinas sin semáforo la tiene el que cruza desde su derecha.	
		x		PONER EL GUIÑO	No es necesario poner el guiño. 	
	x			FRENAR Y DEJARLA PASAR, TIENE PRIORIDAD	Frenar y dejar pasar. Todo conductor debe ceder siempre el paso en las encrucijadas al que cruza desde su derecha.	
		x		TOCAR LA BOCINA	No es necesario tocar la bocina. 	
		x		LLAMAR A LA POLICÍA	No es necesario llamar a la policía	
LLEGAS A UNA ROTONDA Y HAY OTROS AUTOS DENTRO DE LA MISMA. TENÉS QUE AVANZAR PARA SEGUIR.			x	ACELERAR Y AVANZAR, TENGO PRIORIDAD	Acelerar podría provocar un siniestro. La prioridad la tiene quien está ya circulando dentro de la rotonda.	Esta acción podría provocar un siniestro. La prioridad la tiene quien está ya circulando dentro de la rotonda.
		x		TOCAR LA BOCINA	No es necesario tocar la bocina, ¡tené paciencia! 	No es necesaria esta acción.
	x			ESPERAR QUE PASEN Y LUEGO INGRESAR.	Esperar y luego ingresar. Tiene prioridad de paso el que circula por la rotonda sobre el que intenta ingresar..	Bien hecho! Tiene prioridad de paso el que circula por la rotonda sobre el que intenta ingresar..
		x		PONER EL GUIÑO	No es necesario poner el guiño. 	No es necesaria esta acción.
		x		PONER BALIZAS.	No es necesario poner balizas.	No es necesaria esta acción.
ATENDISTE TU TELÉFONO Y NO VISTE QUE EL SEMÁFORO ESTABA EN ROJO. CHOCASTE. POR SUERTE ESTÁS BIEN Y NO HAY GRANDES DAÑOS EN LOS VEHÍCULOS.			x	ACELERAR Y SEGUIR MI CAMINO.	Acelerar es irresponsable y puede provocar otro siniestro.	Esta acción es irresponsable y puede provocar otro siniestro.
		x		TOCAR BOCINA	No es necesario tocar bocina.	No es necesaria esta acción
	x			DETENERME Y ESTACIONAR EL VEHÍCULO	Debes detenerte y estacionar. Siempre que hay un siniestro debes frenar tu vehículo en un lugar seguro de ser posible fuera del área de circulación. Si no podés moverlo, poné balizas.	Bien hecho! Siempre que hay un siniestro debes detener tu vehículo en un lugar seguro de ser posible fuera del área de circulación. Si no puedes moverlo, poné balizas.
			x	GRITAR Y GOLPEAR EL AUTO	Gritar y golpear el auto no colabora con la convivencia vial. Debés controlar tus emociones y solucionar la situación desde el respeto y la empatía.	Esta acción no colabora con la convivencia vial. Debés controlar tus emociones y solucionar la situación desde el respeto y la empatía.
	x			PREGUNTAR SI LOS INTEGRANTES DEL OTRO VEHÍCULO ESTÁN BIEN. SI ES NECESARIO, LLAMAR UNA AMBULANCIA.	Preguntar si todos están bien o llamar a una ambulancia si se necesita. Esto demuestra tu compromiso con la comunidad.	Bien hecho! Esto demuestra tu compromiso con la comunidad.
	x			INTERCAMBIAR LOS DATOS DEL SEGURO Y LICENCIA	Compartir los datos y documentación para cubrir los gastos que pudiera ocasionar el siniestro.	Es fundamental compartir los datos y documentación para cubrir los gastos que pudiera ocasionar el siniestro.
EL AUTO DE ADELANTE TIENE UNA RUEDA BAJA.			x	SEGUIR DE LARGO	Seguir de largo no demuestra tu compromiso con la comunidad y no aporta a la movilidad sustentable. Al avisarle, lo ayudás a evitar un siniestro.	Esta acción no demuestra tu compromiso con la comunidad y no aporta a la movilidad sustentable. Al avisarle, lo ayudás a evitar un siniestro.
	x			PONER EL GUIÑO	Poner el guiño antes de cambiar de carril así le avisás al vehículo de atrás.	Bien hecho! Si vas a cambiar de carril es fundamental avisar al vehículo de atrás.
			x	FRENAR DE GOLPE	Al frenar de golpe podés provocar siniestros.	No es necesaria esta acción y puede provocar siniestros.
	x			PARAR EL AUTO AL LADO Y AVISARLE	Parar el auto al lado y avisarle. Tus acciones pueden aportar a la movilidad sustentable. Al avisarle, lo ayudás a evitar un siniestro.	Bien hecho! Aportaste a la movilidad sustentable. Al avisarle, lo ayudás a evitar un siniestro.
		x		LLAMAR A LA POLICÍA	No es necesario llamar a la polícía.	No es necesaria esta acción.
HAY UN DESVÍO POR ARREGLO DE LA CALLE, DEBÉS GIRAR A LA IZQUIERDA.		x		PONER BALIZAS	No es necesario poner balizas.	No es necesaria esta acción.
			x	PONER LUZ DE GIRO A LA DERECHA	Poner luz de giro a la derecha y doblar hacia la izquierda podría provocar un siniestro.	Esta acción podría provocar un siniestro.
	x			PONER LUZ DE GIRO A LA IZQUIERDA	Poner luz de giro a la izquierda. Siempre debés usar la luz de giro para avisar al vehículo que te sigue tu próximo movimiento.	Bien hecho! Recordá que siempre debés usar la luz de giro para avisar al vehículo que te sigue tu próximo movimiento.
		x		TOCAR BOCINA	No es necesario tocar la bocina.	No es necesaria esta acción.
	x			GIRAR	Girar. Siempre debes respetar las señales de tránsito. 	Bien hecho! Respetaste la señal y avanzaste correctamente.
ESTÁS POR INGRESAR A UN TÚNEL		x		ACELERAR	Acelerar no es necesario. Debes mantener la velocidad permitida.	Esta acción no es necesaria. Debes mantener la velocidad permitida.
	x			PRENDER LAS LUCES	Prender las luces. En un túnel se reduce la visibilidad por eso debes encender las luces del vehículo.	Bien hecho! En un túnel se reduce la visibilidad por eso debes encender las luces del vehículo.
		x		SACAR UN PAÑUELO BLANCO POR LA VENTANA	No es necesario sacar un pañuelo blanco por la ventana.	No es necesaria esta acción.
			x	SACARTE EL CINTURÓN DE SEGURIDAD	Nunca debés conducir sin el cinturón de seguridad.	
		x		PONER BALIZAS	No es necesario poner balizas.	No es necesaria esta acción.
COMIENZA A LLOVER FUERTEMENTE EN TU CAMINO A CASA	x			DISMINUIR LA VELOCIDAD	Disminuir la velocidad. Esto aumentará la superficie de contacto-fricción de las ruedas con el suelo.	Bien hecho! Al bajar la velocidad aumentará la superficie de contacto-fricción de las ruedas con el suelo.
			x	ACELERAR PARA LLEGAR ANTES	Acelerar es peligroso ya que con la lluvia tendrás menos control del vehículo.	Esta acción es peligrosa ya que con la lluvia tendrás menos control del vehículo.
	x			PRENDER LUCES	Siempre encender las luces de posición y bajas para aumentar su visibilidad.	Bien hecho! Siempre encender las luces de posición y bajas para aumentar su visibilidad.
			x	PONER FRENO DE MANO	No es necesaria poner freno de mano y puede provocar un siniestro.	No es necesaria esta acción y puede provocar un siniestro.
	x			AUMENTAR DISTANCIA CON OTROS VEHÍCULOS	Aumentar la distancia con otros vehículos. En el pavimento mojado, se necesitará más distancia para frenar.	Bien hecho! En el pavimento mojado, se necesitará más distancia para frenar.
SUENA TU CELULAR			x	ATENDER	El uso del teléfono móvil es un factor que multiplica por cuatro el riesgo de sufrir siniestros.	El uso del teléfono móvil es un factor que multiplica por cuatro el riesgo de sufrir siniestros.
	x			NO ATENDER O DETENER EL VEHÍCULO EN UN LUGAR PERMITIDO Y ATENDER	No atender. Está comprobado que el uso de teléfono durante la conducción aumenta el riesgo.	Bien hecho! Está comprobado que el uso de teléfono durante la conducción aumenta el riesgo.
			x	ATENDER EN MANOS LIBRES	Incluso en manos libres aumentás el riesgo de tener siniestros porque se pierde la capacidad de concentración necesaria para conducir.	Incluso en manos libres aumentás el riesgo de tener siniestros porque se pierde la capacidad de concentración necesaria para conducir.
LLEGASTE A TU DESTINO! DEBÉS ESTACIONAR	x			BUSCAR ESPACIO PERMITIDO	Buscar una zona de estacionamiento permitido y, de ser necesario, pagá la tarifa correspondiente.	Bien hecho! Buscá una zona de estacionamiento permitido y, de ser necesario, pagá la tarifa correspondiente.
			x	ESTACIONAR A 50 CM DE LA VEREDA	Estacionar a 50 centímetros de la vereda puede entorpecer el paso de otros vehículos por esa calle. El estacionamiento debe realizarse con una separación de las ruedas a una distancia no mayor de 20 centímetros del cordón.	Esta acción puede entorpecer el paso de otros vehículos por esa calle. El estacionamiento debe realizarse con una separación de las ruedas a una distancia no mayor de 20 centímetros del cordón.
	x			PONER BALIZAS	Poner balizas permite a los demás vehículos saber que frenarás.	Bien hecho! Esta acción permite a los demás vehículos saber que frenarás.
	x			ESTACIONAR A 20 CM DE LA VEREDA	Estacionar a 20 centímetros de la vereda. El estacionamiento debe realizarse con una separación de las ruedas a una distancia no mayor de 20 centímetros del cordón, y a una distancia entre paragolpes de 50 centímetros como mínimo.	Bien hecho! El estacionamiento debe realizarse con una separación de las ruedas a una distancia no mayor de 20 centímetros del cordón, y a una distancia entre paragolpes de 50 centímetros como mínimo.
			x	ESTACIONAR EN LA ESQUINA SOBRE LA SENDA PEATONAL	Estacionar en la esquina está prohibida y podrás recibir una multa. Además, tu auto impedirá el paso de peatones.	Esta acción está prohibida y podrás recibir una multa. Además, tu auto impedirá el paso de peatones.
